,word,pinyin,definition
0,你好,nǐ hǎo,hello
1,爱好,ài hào,to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]
2,爸爸,bà bà,"(coll.) father; dad/CL:個|个[ge4],位[wei4]"
7,白天,bái tiān,daytime/during the day/day/CL:個|个[ge4]
10,半年,bàn nián,half a year
11,半天,bàn tiān,half of the day/a long time/quite a while/midair/CL:個|个[ge4]
13,帮忙,bāng máng,to help/to lend a hand/to do a favor/to do a good turn
15,包子,bāo zi,bao (steamed stuffed bun)/CL:個|个[ge4]
18,北边,běi biān,north/north side/northern part/to the north of
19,北京,běi jīng,"Beijing, capital of the People's Republic of China"
20,杯子,bēi zi,"cup/glass/CL:個|个[ge4],隻|只[zhi1]"
22,本子,běn zi,"book/notebook/Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""/CL:本[ben3]/edition"
25,别的,bié de,else/other
26,别人,bié rén,other people; others; other person
28,病人,bìng rén,sick person/patient/invalid/CL:個|个[ge4]
29,不大,bù dà,not very/not too/not often
30,不对,bú duì,incorrect/wrong/amiss/abnormal/queer
33,不用,bù yòng,need not
39,常常,cháng cháng,frequently/often
40,唱歌,chàng gē,to sing a song
42,车上,chē shàng,in the card
43,车票,chē piào,ticket (for a bus or train)
44,车站,chē zhàn,"rail station/bus stop/CL:處|处[chu4],個|个[ge4]"
46,吃饭,chī fàn,to have a meal/to eat/to make a living
48,出来,chū lái,"(after a verb, indicates coming out, completion of an action, or ability to discern or detect)"
49,出去,chū qù,to go out
56,打车,dǎ chē,to take a taxi (in town)/to hitch a lift
59,打开,dǎ kāi,to open/to show (a ticket)/to turn on/to switch on
60,打球,dǎ qiú,to play ball/to play with a ball
61,大学,dà xué,university/college/CL:所[suo3]
64,得到,dé dào,to get; to obtain; to receive
70,弟弟,dì dì,"younger brother/CL:個|个[ge4],位[wei4]"
71,地点,dì diǎn,place/site/location/venue/CL:個|个[ge4]
72,地方,dì fāng,"area/place/space/room/territory/CL:處|处[chu4],個|个[ge4],塊|块[kuai4]"
73,地上,dì shàng,on the ground/on the floor
74,地图,dì tú,"map/CL:張|张[zhang1],本[ben3]"
77,电话,diàn huà,telephone/CL:部[bu4]/phone call/CL:通[tong1]/phone number
78,电脑,diàn nǎo,computer/CL:臺|台[tai2]
79,电视,diàn shì,"television; TV/CL:臺|台[tai2],個|个[ge4]"
81,电影,diàn yǐng,"movie; film/CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
85,东边,dōng biān,east/east side/eastern part/to the east of
86,东西,dōng xī,"thing/stuff/person/CL:個|个[ge4],件[jian4]"
87,动作,dòng zuò,movement; motion; action (CL:個|个[ge4])/to act; to move
90,读书,dú shū,to read a book/to study/to attend school
94,多少,duō shǎo,"how much?; how many?/(phone number, student ID etc) what number?"
97,儿子,ér zi,son
99,饭店,fàn diàn,"restaurant/hotel/CL:家[jia1],個|个[ge4]"
101,放学,fàng xué,to dismiss students at the end of the school day
102,放假,fàng jià,to have a holiday or vacation
103,房间,fáng jiān,"room/CL:間|间[jian1],個|个[ge4]"
104,房子,fáng zi,"house/building (single- or two-story)/apartment/room/CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]"
106,非常,fēi cháng,very; really/unusual; extraordinary
107,飞机,fēi jī,airplane/CL:架[jia4]
112,干净,gān jìng,clean/neat
115,告诉,gào sù,to tell; to inform; to let know
116,高兴,gāo xìng,happy/glad/willing (to do sth)/in a cheerful mood
118,哥哥,gē gē,"older brother/CL:個|个[ge4],位[wei4]"
122,工人,gōng rén,"worker/CL:個|个[ge4],名[ming2]"
123,工作,gōng zuò,"to work/(of a machine) to operate/job/work/task/CL:個|个[ge4],份[fen4],項|项[xiang4]"
125,关上,guān shàng,"to close (a door)/to turn off (light, electrical equipment etc)"
129,国家,guó jiā,country; nation; state/CL:個|个[ge4]
130,国外,guó wài,abroad/external (affairs)/overseas/foreign
133,还有,hái yǒu,furthermore/in addition/still/also
134,还是,hái shì,still (as before)/had better/unexpectedly/or
135,孩子,hái zi,child
136,汉语,hàn yǔ,Chinese language/CL:門|门[men2]
137,汉字,hàn zì,Chinese character/CL:個|个[ge4]/Japanese: kanji/Korean: hanja/Vietnamese: hán tự
138,好吃,hǎo chī,to be fond of eating/to be gluttonous
141,好看,hǎo kàn,"good-looking/nice-looking/good (of a movie, book, TV show etc)/embarrassed/humiliated"
142,好听,hǎo tīng,pleasant to hear
148,后边,hòu biān,the back; the rear; the last bit/behind; near the end; at the back/later; afterwards
149,后天,hòu tiān,"the day after tomorrow/life after birth (the period in which one develops through experiences, contrasted with 先天[xian1 tian1])/acquired (not innate or congenital)/a posteriori"
154,回答,huí dá,to reply; to answer/reply; answer
155,回到,huí dào,to return to
156,回家,huí jiā,to return home
158,回来,huí lái,to return; to come back
159,回去,huí qù,to return/to go back
160,火车,huǒ chē,"train/CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]"
162,机场,jī chǎng,"airport; airfield/(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship/CL:家[jia1],處|处[chu4]"
163,鸡蛋,jī dàn,"(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]"
164,记得,jì de,to remember
166,机票,jī piào,air ticket/passenger ticket/CL:張|张[zhang1]
167,记住,jì zhù,to remember/to bear in mind/to learn by heart
169,家里,jiā lǐ,home
170,家人,jiā rén,family member/(old) servant
172,见面,jiàn miàn,to meet; to see each other/CL:次[ci4]
177,介绍,jiè shào,to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction
178,姐姐,jiě jiě,older sister/CL:個|个[ge4]
180,进来,jìn lái,to come in
181,今年,jīn nián,this year
182,进去,jìn qù,to go in
183,今天,jīn tiān,today/the present time; now
186,觉得,jué de,to think that ...; to feel that .../to feel (uncomfortable etc)
188,开车,kāi chē,to drive a car
189,开会,kāi huì,to hold a meeting/to attend a meeting
191,看病,kàn bìng,to visit a doctor/to see a patient
192,看见,kàn jiàn,to see/to catch sight of
194,看到,kàn dào,to see
196,考试,kǎo shì,to take an exam/exam/CL:次[ci4]
198,课本,kè běn,textbook/CL:本[ben3]
200,课文,kè wén,text/CL:篇[pian1]
205,来到,lái dào,to arrive; to come
207,老人,lǎo rén,old man or woman/the elderly/one's aged parents or grandparents
208,老师,lǎo shī,"teacher/CL:個|个[ge4],位[wei4]"
213,里边,lǐ biān,inside
218,楼上,lóu shàng,upstairs/(Internet slang) previous poster in a forum thread
219,楼下,lóu xià,downstairs
221,路口,lù kǒu,crossing/intersection (of roads)
222,路上,lù shàng,on the road/on a journey/road surface
223,马路,mǎ lù,street/road/CL:條|条[tiao2]
224,妈妈,mā mā,"mama/mommy/mother/CL:個|个[ge4],位[wei4]"
226,马上,mǎ shàng,at once/right away/immediately/on horseback (i.e. by military force)
232,妹妹,mèi mèi,younger sister/young woman/CL:個|个[ge4]
236,没有,méi yǒu,haven't/hasn't/doesn't exist/to not have/to not be
238,门口,mén kǒu,doorway/gate/CL:個|个[ge4]
240,门票,mén piào,"ticket (for theater, cinema etc)"
241,米饭,mǐ fàn,(cooked) rice
242,面包,miàn bāo,"bread/CL:片[pian4],袋[dai4],塊|块[kuai4]"
244,明白,míng bái,clear/obvious/unequivocal/to understand/to realize
245,明年,míng nián,next year
246,明天,míng tiān,tomorrow
247,名字,míng zì,name (of a person or thing)/CL:個|个[ge4]
249,那边,nà biān,over there/yonder
250,那儿,nà ér,there
251,哪儿,nǎ ér,where?/wherever; anywhere; somewhere/(used in rhetorical questions) how can ...?; how could ...?
252,那里,nà lǐ,there; that place
253,哪里,nǎ lǐ,where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment
256,那些,nà xiē,those
